Entry ID,EMDB Map,split
3IYL,EMD-5160,train
3IZX,EMD-5256,train
3J40,EMD-5678,train
3J7W,EMD-6035,train
3J81,EMD-2763,train
3J94,EMD-6204,train
3J9D,EMD-6239,train
3J9E,EMD-6240,train
3J9P,EMD-6267,train
3JA7,EMD-6324,train
3JB4,EMD-6394,train
3JB5,EMD-6398,train
3JBE,EMD-6433,train
3JBW,EMD-6489,train
3JCZ,EMD-6630,train
5AN8,EMD-6455,train
5FTL,EMD-3297,train
5FWK,EMD-3337,train
5I68,EMD-8072,train
5IZ7,EMD-8139,train
5JZH,EMD-8185,train
5KIP,EMD-8253,train
5LVC,EMD-4112,train
5M32,EMD-4146,train
5N8O,EMD-3601,train
5N9Y,EMD-3605,train
5OYB,EMD-3860,train
5TC1,EMD-8397,train
5TCQ,EMD-8399,train
5UAR,EMD-8461,train
5VKQ,EMD-8702,train
5VVR,EMD-8735,train
5W0S,EMD-8750,train
5W68,EMD-8778,train
5WC3,EMD-8795,train
5WQ7,EMD-6675,train
5XWY,EMD-6777,train
5Z10,EMD-6865,train
5Z1F,EMD-6875,train
5ZJI,EMD-6932,train
5ZQZ,EMD-6940,train
5ZR1,EMD-6941,train
5ZX5,EMD-6975,train
6A69,EMD-6987,train
6AB5,EMD-6999,train
6ADQ,EMD-9610,train
6AHC,EMD-9623,train
6B3O,EMD-7040,train
6B3Q,EMD-7041,train
6BBJ,EMD-7075,train
6BVF,EMD-7294,train
6C4H,EMD-7340,train
6C66,EMD-7347,train
6CJQ,EMD-7482,train
6CT0,EMD-7610,train
6D7W,EMD-7826,train
6DJU,EMD-7942,train
6DJY,EMD-7944,train
6DLZ,EMD-7959,train
6DNF,EMD-7971,train
6DT0,EMD-8911,train
6E0F,EMD-8946,train
6.00E+15,EMD-8954,train
6E1H,EMD-8955,train
6E2F,EMD-8961,train
6E7P,EMD-9000,train
6EBL,EMD-9025,train
6EGV,EMD-3865,train
6FHS,EMD-4264,train
6G2D,EMD-4342,train
6GYB,EMD-0089,train
6H3N,EMD-0136,train
6HZ4,EMD-0310,train
6I1Y,EMD-0327,train
6I2T,EMD-4400,train
6I9E,EMD-4433,train
6IAC,EMD-4435,train
6IAT,EMD-4438,train
6IFK,EMD-9653,train
6IXH,EMD-9747,train
6IZL,EMD-9754,train
6J6K,EMD-0690,train
6JC3,EMD-9793,train
6JNF,EMD-9851,train
6JPQ,EMD-9870,train
6JQM,EMD-9874,train
6JT0,EMD-9883,train
6JXR,EMD-9895,train
6K15,EMD-9905,train
6K9Q,EMD-9952,train
6KA4,EMD-9954,train
6KFF,EMD-9971,train
6KLC,EMD-0706,train
6KUJ,EMD-9887,train
6KZ3,EMD-0784,train
6KZ4,EMD-0785,train
6KZO,EMD-0791,train
6L2T,EMD-0814,train
6L3H,EMD-0822,train
6L42,EMD-0828,train
6L47,EMD-0831,train
6LAR,EMD-0862,train
6LAT,EMD-0863,train
6LBA,EMD-0868,train
6LMV,EMD-0921,train
6LMX,EMD-0923,train
6LO8,EMD-0935,train
6LOD,EMD-0936,train
6LRR,EMD-0959,train
6LVC,EMD-0989,train
6LX3,EMD-30004,train
6LXD,EMD-30005,train
6LYG,EMD-30016,train
6LZ1,EMD-30021,train
6LZ3,EMD-30022,train
6M3W,EMD-30072,train
6M5R,EMD-30090,train
6M6Z,EMD-30126,train
6M79,EMD-30128,train
6MDR,EMD-9104,train
6ME0,EMD-9105,train
6MG8,EMD-9111,train
6MGV,EMD-9112,train
6MHO,EMD-9115,train
6MHQ,EMD-9116,train
6MI7,EMD-9125,train
6MP6,EMD-9187,train
6MUR,EMD-9253,train
6MX7,EMD-9281,train
6N1Q,EMD-9317,train
6N24,EMD-9322,train
6N3Q,EMD-0336,train
6N52,EMD-0346,train
6NF9,EMD-9363,train
6NJO,EMD-9390,train
6NM9,EMD-9398,train
6NPJ,EMD-0471,train
6NPK,EMD-0472,train
6NQ0,EMD-0477,train
6NTS,EMD-0510,train
6NUR,EMD-0520,train
6NYF,EMD-0542,train
6NZU,EMD-0560,train
6O1K,EMD-0590,train
6O2N,EMD-0609,train
6OGY,EMD-20059,train
6OIS,EMD-20080,train
6OSA,EMD-20181,train
6P07,EMD-20226,train
6P25,EMD-20236,train
6P2P,EMD-20239,train
6P4J,EMD-20250,train
6P6F,EMD-20261,train
6PK4,EMD-20354,train
6PNS,EMD-20398,train
6PPB,EMD-20432,train
6PPE,EMD-20434,train
6PPI,EMD-20437,train
6PPL,EMD-20442,train
6PPR,EMD-20446,train
6PUO,EMD-20478,train
6PW4,EMD-20498,train
6Q6G,EMD-4465,train
6QB8,EMD-4489,train
6QJT,EMD-4567,train
6QK7,EMD-4571,train
6QKC,EMD-4572,train
6QLF,EMD-4581,train
6QXF,EMD-4668,train
6R5K,EMD-4728,train
6RAO,EMD-4782,train
6RB9,EMD-4789,train
6RBG,EMD-4798,train
6RIE,EMD-4890,train
6RJ0,EMD-4899,train
6RJ9,EMD-4900,train
6RKD,EMD-4907,train
6RKS,EMD-4909,train
6RQF,EMD-4981,train
6RTK,EMD-10001,train
6RWB,EMD-10037,train
6S2C,EMD-10087,train
6S3L,EMD-10093,train
6S3Q,EMD-10094,train
6S44,EMD-10097,train
6S59,EMD-10099,train
6S6S,EMD-10104,train
6S6V,EMD-10107,train
6SCN,EMD-10143,train
6SH3,EMD-10192,train
6SHL,EMD-10200,train
6SI8,EMD-10208,train
6SIH,EMD-10210,train
6SKZ,EMD-10232,train
6SM3,EMD-10241,train
6SO5,EMD-10266,train
6SZ9,EMD-10350,train
6T8B,EMD-10399,train
6T8H,EMD-10401,train
6TDW,EMD-10469,train
6TEH,EMD-10490,train
6TMV,EMD-10528,train
6TNY,EMD-10539,train
6TO8,EMD-10541,train
6TT7,EMD-10573,train
6TY8,EMD-20581,train
6U1X,EMD-20614,train
6U2V,EMD-20626,train
6U5J,EMD-20647,train
6U5N,EMD-20650,train
6U5W,EMD-20658,train
6U9H,EMD-20700,train
6UA2,EMD-20704,train
6UD3,EMD-20731,train
6UEN,EMD-20754,train
6UH5,EMD-20767,train
6UKP,EMD-20808,train
6UR8,EMD-20857,train
6URG,EMD-20860,train
6UVR,EMD-20914,train
6UZH,EMD-20959,train
6V11,EMD-21009,train
6V35,EMD-21028,train
6V3K,EMD-21038,train
6V4D,EMD-21040,train
6V69,EMD-21060,train
6V9H,EMD-21120,train
6V9Z,EMD-21132,train
6VAM,EMD-21143,train
6VBW,EMD-21146,train
6VCD,EMD-21149,train
6VD7,EMD-21150,train
6VFH,EMD-21172,train
6VJY,EMD-21220,train
6VRB,EMD-21366,train
6VWK,EMD-21419,train
6W4X,EMD-21540,train
6W6W,EMD-21567,train
6WB8,EMD-21586,train
6WBX,EMD-21600,train
6WCZ,EMD-21618,train
6WDN,EMD-21642,train
6WHW,EMD-21678,train
6WLV,EMD-21843,train
6WM3,EMD-21848,train
6WPK,EMD-21863,train
6WU1,EMD-21902,train
6WU3,EMD-21904,train
6WUH,EMD-21913,train
6X0U,EMD-21984,train
6X4S,EMD-22042,train
6X67,EMD-22072,train
6XE6,EMD-22144,train
6XEO,EMD-22146,train
6XG6,EMD-22174,train
6XWN,EMD-10632,train
6Y5K,EMD-10700,train
6Y83,EMD-10722,train
6YLE,EMD-10836,train
6YS8,EMD-10893,train
6YSF,EMD-10895,train
6YTK,EMD-10917,train
6YTV,EMD-10924,train
6YW6,EMD-10959,train
6Z2X,EMD-11051,train
6ZML,EMD-11293,train
6ZXJ,EMD-11522,train
6ZYM,EMD-11569,train
7AGF,EMD-11778,train
7C7Q,EMD-30300,train
7C8D,EMD-30305,train
7CAL,EMD-30334,train
7CFS,EMD-30346,train
7CR0,EMD-30443,train
7D0F,EMD-30532,train
7D0I,EMD-30535,train
7JLO,EMD-22375,train
7K8Y,EMD-22735,train
7KHA,EMD-22876,train
3J7H,EMD-5995,train
5AC9,EMD-3129,val
5AN9,EMD-3145,train
5LK7,EMD-4063,val
